Pathway	SH1	SH2	SH3	SH4	SH5	SH6	SH7	SH8	SH9	SH10	SH11	SH12	SH13	SH14	SH15	SH16	SH17	SH18	SH19	SH20	SH21	SH22	SH23	SH24	SH25	SH26	SH27	SH28	SH29	SH30	YK31	YK32	YK33	YK34	YK35	YK36	YK37	YK38	YK39	YK40	YK41	YK42	YK43	YK44	YK45	YK46	YK47	YK48	YK49	YK50	YK51	YK52	YK53	YK54	YK55	YK56	YK57	YK58	YK59	YK60
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	0	0	0	0	0	0	8.2731e-6	0	0	0	0	0	0	0	3.8217e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.13081e-5	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.52772e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.74841e-5	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	6.43784e-4	4.70728e-4	5.63729e-4	3.60281e-4	6.25114e-4	4.23602e-4	5.35747e-4	2.1972e-4	2.64638e-4	1.34518e-4	2.29901e-4	3.07102e-4	1.6544e-4	1.55172e-4	4.14414e-4	3.73071e-4	5.32631e-4	4.08912e-4	5.09126e-4	5.43985e-4	3.56719e-4	2.29328e-4	3.57557e-4	4.65221e-4	3.26479e-4	2.4755e-4	2.34661e-4	3.43298e-4	4.41408e-4	2.72703e-4	1.19415e-4	5.87312e-4	3.21668e-4	4.19967e-4	2.89392e-4	2.13941e-4	4.9892e-4	4.93567e-4	5.14366e-4	1.3242e-4	2.8716e-4	1.92938e-4	1.02275e-4	3.70795e-4	4.96791e-4	3.4616e-4	6.4016e-4	2.72349e-4	2.35871e-5	4.81931e-4	3.7684e-4	4.54877e-4	3.55975e-4	1.2799e-4	3.17739e-4	2.88752e-4	0	1.81311e-4	3.68174e-4	2.73206e-4
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast|unclassified	5.49059e-4	4.70728e-4	4.97319e-4	3.60281e-4	5.02932e-4	3.05777e-4	5.33226e-4	2.1972e-4	1.81783e-4	1.18164e-4	2.08264e-4	2.84511e-4	1.05202e-4	1.28757e-4	1.41213e-4	2.70902e-4	4.66327e-4	1.45518e-4	1.1389e-4	1.83425e-4	2.73379e-4	1.53105e-4	1.83106e-4	3.58191e-4	2.28911e-4	1.74236e-4	2.29349e-4	8.48129e-5	1.4781e-4	1.10283e-4	1.19415e-4	4.74101e-4	2.9874e-4	4.18603e-4	2.36101e-4	1.81351e-4	4.73378e-4	4.56955e-4	5.0354e-4	1.3242e-4	2.54966e-4	8.74329e-5	1.01897e-4	1.53481e-4	4.74646e-4	8.06403e-5	3.72401e-4	9.27642e-5	2.28706e-5	4.09897e-4	1.55586e-4	2.02048e-4	2.7604e-4	1.2799e-4	2.82333e-4	1.55303e-4	0	1.76203e-4	3.55175e-4	2.73206e-4
ANAEROFRUCAT-PWY: homolactic fermentation	0.00476831	0.00354981	0.00556883	0.00462091	0.00478397	0.00570986	0.00288511	0.00536089	0.00374426	0.00466072	0.00331324	0.00504085	0.00543866	0.00525012	0.00460556	0.00385611	0.00491633	0.00424352	0.00484505	0.00440101	0.00442372	0.00426997	0.00491347	0.00376363	0.00460447	0.00459336	0.00290244	0.00433925	0.00455375	0.00406795	0.00739547	0.00454739	0.00606164	0.00391074	0.00462249	0.0074914	0.00471672	0.00387738	0.0028379	0.00476049	0.00682234	0.0036947	0.0052977	0.0049983	0.00363108	0.00517184	0.00375051	0.0045712	0.00438691	0.00430712	0.00344823	0.00464078	0.00392944	0.00292279	0.00380726	0.00430949	0.0041149	0.00465167	0.00459676	0.00407694
ANAEROFRUCAT-PWY: homolactic fermentation|g__Escherichia.s__Escherichia_coli	1.25996e-4	0	0	0	0.0014267	1.6044e-4	0	0	0	9.83671e-4	0	2.15698e-4	0	4.36524e-5	0.00113769	3.39946e-4	2.44299e-4	0.00123621	6.92719e-4	7.83698e-4	4.486e-4	1.12135e-4	2.54318e-4	5.29718e-4	0	1.42526e-4	0	2.19753e-4	0.0010701	1.2754e-4	0	0	0	0	3.8324e-4	0	0	5.38257e-5	0	0	0	0	0	0	0	3.57923e-4	8.2665e-4	1.22518e-4	0	2.54404e-4	2.33404e-4	5.57182e-4	4.64738e-4	0	9.13241e-5	9.39127e-5	0	0	2.08676e-4	0
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	0.00313005	0.00297178	0.00284335	0.00204666	0.00169767	0.00179711	0.00212388	0.00204828	0.00251981	0.00209699	0.00321096	0.00272631	0.00288305	0.00212962	0.00161543	0.00300454	0.00369744	0.00161265	0.00271506	0.00242302	0.00318124	0.00338601	0.0039406	0.00238727	0.00276535	0.00381371	0.00248812	0.00349655	0.00254752	0.00342354	0.0030522600000000002	0.00190734	0.00165615	0.00383525	0.00353995	0.00201055	0.0028726	0.00372027	0.002795	0.00217556	0.00177645	0.00105172	0.00403029	0.00479231	0.00315421	0.00406552	0.00216858	0.00383092	0.00408352	0.00363314	0.00264331	0.0029227	0.00237842	0.00252501	0.00335348	0.0034397	0.00387017	0.00235372	0.00412361	0.00389296
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.00974327	0.0101586	0.0092474	0.0103995	0.00742767	0.00934851	0.00870327	0.0100398	0.00852141	0.00739731	0.00936172	0.00889177	0.0112203	0.00919619	0.00738046	0.00841355	0.00843437	0.00772237	0.00828368	0.00747736	0.00850074	0.00797365	0.00867376	0.00738538	0.00830088	0.00797224	0.00660017	0.0076215400000000004	0.00893184	0.00962831	0.0102979	0.0103961	0.0100347	0.00858227	0.00889456	0.0124642	0.0109572	0.00789574	0.0103639	0.00970043	0.012181	0.0104468	0.00853471	0.00817267	0.0068949	0.00871663	0.00854792	0.00915152	0.00803877	0.00782499	0.00887002	0.00775216	0.00896518	0.00916974	0.00863779	0.00930407	0.00917478	0.00929648	0.00793212	0.00879693
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Clostridium.s__Clostridium_butyricum	7.20974e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33474e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Desulfovibrio.s__Desulfovibrio_piger	4.29653e-5	0	0	0	0	2.28197e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Escherichia.s__Escherichia_coli	2.39389e-4	9.59617e-5	0	0	0.00195129	2.60963e-4	0	0	0	0.00144695	3.49158e-5	2.93054e-4	0	7.16323e-5	0.00144047	4.54831e-4	3.39094e-4	0.00164258	9.77271e-4	0.00108309	7.36915e-4	1.49183e-4	3.06296e-4	7.4268e-4	0	1.99326e-4	0	3.00784e-4	0.00153105	2.62432e-4	0	5.33353e-5	0	0	6.84463e-4	0	0	8.42412e-5	0	0	0	0	0	0	0	4.43854e-4	0.00120254	1.86171e-4	0	3.50888e-4	3.04147e-4	9.02955e-4	8.1813e-4	0	1.56652e-4	2.38029e-4	0	0	2.33288e-4	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Prevotella.s__Prevotella_ruminicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07974e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_gallolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	3.67954e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Turicibacter.s__Turicibacter_sanguinis	1.91907e-4	0	4.92391e-4	6.73412e-4	6.93164e-5	5.21769e-4	1.94419e-4	5.58874e-4	4.19885e-4	1.18667e-4	2.05871e-4	3.29994e-4	1.18069e-4	3.73016e-4	3.4552e-5	8.4972e-5	4.79028e-5	0	0	0	0	0	4.15248e-5	0	2.3426e-4	8.22717e-5	0	4.58404e-5	2.022e-5	0	6.25367e-4	3.87233e-4	5.86066e-4	1.49973e-4	4.12179e-5	6.84175e-4	3.31048e-4	0	2.68121e-4	2.14587e-4	7.57537e-4	3.44691e-4	0	0	0	3.70036e-5	0	0	0	5.13519e-5	0	0	0	0	0	0	0	0	6.11041e-5	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	0.00815229	0.00988325	0.0077014	0.00884659	0.0035336	0.0065079	0.00826149	0.00838582	0.00735159	0.00419711	0.00872568	0.00654495	0.00704678	0.00741034	0.0042217	0.00754101	0.00743281	0.003104	0.00569636	0.00508556	0.00685377	0.00754674	0.00709635	0.00609575	0.00595289	0.00676309	0.00649675	0.00691813	0.00538375	0.0088428	0.00615059	0.00894158	0.0082211	0.00819156	0.00729962	0.00701782	0.00870473	0.00743224	0.00983393	0.0082095	0.00649788	0.00897715	0.00657086	0.00805759	0.00685784	0.00718353	0.00580222	0.008376	0.00771154	0.00687906	0.00743701	0.00611269	0.00714038	0.0089948	0.00787748	0.00816857	0.00915423	0.00649777	0.00721263	0.00871959
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.0017022	0.00139881	0.00102927	0.00132753	0.00311862	0.00162527	6.81647e-4	0.00109322	5.20494e-4	0.00297979	9.25618e-4	0.00173804	6.28709e-4	6.28135e-4	0.00270027	0.00212419	0.0016055	0.00308979	0.00235413	0.00173488	0.00205337	0.00128032	0.00163977	0.00168211	6.69294e-4	9.62597e-4	4.31067e-4	0.00126575	0.00275341	0.0014866	6.41122e-4	0.0015024	0.00102516	0.00119952	0.00172567	8.17343e-4	0.00107633	0.00143733	0.00106789	0.00102922	9.12989e-4	9.22681e-4	7.16777e-4	0.00115125	0.00128536	0.00182906	0.0028015	0.0012127	4.27415e-4	0.00207733	0.00133502	0.00270217	0.00212096	0.00100525	0.00139766	0.00153105	8.14755e-4	5.31911e-4	0.00169884	4.77165e-4
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|g__Escherichia.s__Escherichia_coli	1.84719e-4	0	0	0	0.00158132	2.16166e-4	0	0	0	0.0010037	0	1.64463e-4	0	5.57104e-5	0.00105211	3.34673e-4	2.56955e-4	0.00130698	6.94206e-4	6.76296e-4	4.41311e-4	5.85584e-5	2.48917e-4	6.2478e-4	2.82266e-5	1.27343e-4	0	2.72772e-4	0.00117219	1.47657e-4	0	3.69422e-5	0	0	3.71087e-4	0	0	7.03673e-5	0	0	0	0	0	0	0	3.64878e-4	8.98852e-4	9.29612e-5	0	3.07965e-4	2.48242e-4	7.35265e-4	4.62138e-4	0	1.22713e-4	1.34559e-4	0	0	1.32993e-4	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified	9.16429e-4	8.54439e-4	9.35699e-4	0.00131537	4.45723e-4	7.04151e-4	6.76472e-4	0.00106748	3.87887e-4	6.55847e-4	8.12261e-4	0.00102372	5.89313e-4	4.19324e-4	6.38107e-4	0.00105037	8.95017e-4	5.34697e-4	7.28053e-4	5.11971e-4	7.64506e-4	9.61622e-4	8.59691e-4	7.03312e-4	5.73276e-4	6.21666e-4	4.30971e-4	5.77943e-4	6.08034e-4	9.19789e-4	6.18244e-4	0.00119324	9.46734e-4	0.00105335	7.93215e-4	6.69791e-4	8.15808e-4	9.73126e-4	0.00104481	9.99136e-4	8.4882e-4	8.96559e-4	7.13909e-4	9.09649e-4	9.97587e-4	6.23846e-4	6.8382e-4	7.97832e-4	3.96679e-4	0.00111223	7.76478e-4	7.88589e-4	7.40745e-4	0.00100194	8.86753e-4	0.00103295	8.13435e-4	5.24814e-4	0.00106789	4.76087e-4
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	1.29828e-4	0	0	0	4.90362e-4	1.62392e-4	0	0	0	5.24082e-4	0	0	0	3.37283e-5	4.419e-4	7.22184e-5	8.83867e-5	6.71569e-4	2.51028e-4	1.90291e-4	2.49733e-4	4.55315e-5	1.28082e-4	2.3085e-4	0	6.73112e-5	0	7.12524e-5	5.37085e-4	5.85513e-5	0	0	0	0	2.0182e-4	0	0	2.20441e-5	0	0	0	0	0	0	0	2.19766e-4	2.45943e-4	4.81402e-5	0	7.6607e-5	4.10926e-5	2.3318e-4	2.30541e-4	0	2.2043e-5	5.2131e-5	0	0	5.07882e-5	0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|g__Escherichia.s__Escherichia_coli	8.83049e-5	0	0	0	3.05395e-4	8.04891e-5	0	0	0	4.52116e-4	0	0	0	0	3.46804e-4	0	7.22482e-5	5.45782e-4	1.82578e-4	1.74501e-4	2.07407e-4	0	9.97766e-5	2.11693e-4	0	5.24367e-5	0	0	4.7899e-4	0	0	0	0	0	1.73083e-4	0	0	0	0	0	0	0	0	0	0	1.33064e-4	2.33844e-4	0	0	0	0	1.46353e-4	1.85451e-4	0	0	0	0	0	0	0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|unclassified	1.54718e-5	0	0	0	1.1332e-4	5.23798e-5	0	0	0	2.54574e-5	0	0	0	2.82567e-5	5.75637e-5	5.2482e-5	0	0	4.36638e-5	0	0	3.94673e-5	0	0	0	0	0	5.92145e-5	0	4.84278e-5	0	0	0	0	0	0	0	2.0488e-5	0	0	0	0	0	0	0	6.377e-5	0	3.93386e-5	0	5.69095e-5	3.02483e-5	6.59542e-5	3.20585e-5	0	2.10463e-5	4.2567e-5	0	0	3.78312e-5	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.00114877	0.00210092	0.00133634	7.2145e-4	0.00180081	8.07501e-4	0.00114206	4.20938e-4	7.33741e-4	0.00184476	0.00117745	0.00106813	0.00123064	4.79698e-4	0.00156875	8.44494e-4	0.00119388	0.001808	0.00145243	0.00150109	0.00126797	0.00156188	0.00108081	0.0011915	4.51501e-4	7.84849e-4	0.00105794	0.00146603	0.00120342	0.00149715	4.06836e-4	0.00115032	7.15111e-4	0.00242273	0.00213361	2.18473e-4	0.00157955	0.00157835	0.00131352	7.44761e-4	4.06683e-4	8.38936e-4	0.00134784	0.00156121	0.00161507	0.00130925	0.00121636	0.00140828	8.32197e-4	0.00134841	0.00106473	0.00133843	0.00111431	0.00151248	0.00123957	0.00163018	0.00116811	0.00128288	0.00166037	0.00172474
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacillaceae_unclassified.s__Bacillaceae_bacterium_EAG3	0	0	0	0	0	0	0	0	0	2.50604e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.15827e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacillus.s__Bacillus_altitudinis	0	0	0	0	0	0	0	0	0	0	0	5.92814e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacillus.s__Bacillus_pumilus	0	0	0	0	0	0	0	0	0	0	0	4.46577e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacillus.s__Bacillus_safensis	0	0	0	0	0	0	0	0	0	0	0	9.4478e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72201e-5	0	0	2.66134e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.07495e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Escherichia.s__Escherichia_coli	1.02895e-4	0	0	0	0.00104406	8.67112e-5	0	0	0	6.59725e-4	0	1.78359e-4	0	4.74183e-5	8.04056e-4	2.51116e-4	1.14561e-4	8.07759e-4	4.71673e-4	5.25931e-4	2.61002e-4	1.04127e-4	1.03303e-4	2.91553e-4	1.51361e-5	1.3556e-4	0	1.73334e-4	7.37705e-4	3.31593e-5	0	0	0	0	2.92165e-4	0	0	0	0	0	0	0	0	0	0	1.84835e-4	6.12662e-4	2.52809e-5	0	1.87118e-4	1.40128e-4	5.48972e-4	3.11386e-4	0	6.1707e-5	8.5601e-5	0	0	8.95574e-5	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Lysinibacillus.s__Lysinibacillus_fusiformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50865e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Lysinibacillus.s__Lysinibacillus_massiliensis	0	0	0	0	0	0	0	0	0	2.33763e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Lysinibacillus.s__Lysinibacillus_varians	0	0	4.03985e-5	0	4.52827e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.11171e-5	0	1.54665e-5	0	0	0	0	0	0	0	5.4407e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Rummeliibacillus.s__Rummeliibacillus_sp_POC4	0	0	0	0	0	1.69575e-5	0	0	4.70888e-5	0	0	0	4.08465e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.71149e-5	0	0	0	0	0	0	0	0	0	3.04763e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Solibacillus.s__Solibacillus_kalamii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.83352e-6	0	0	0	0	0	0	0	0	1.643e-5	0	0	0	0	0	0	0	1.67792e-5	0	1.7607e-5	6.40271e-5	0	0	0	0	0	0	0	0	0	0	1.40471e-5	1.4017e-5	0	0	0	0	0	0	0	0	0	0	0	1.22772e-5	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Solibacillus.s__Solibacillus_silvestris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06262e-5	0	0	0	0	0	0	0	0	1.36329e-5	0	0	0	0	0	0	0	6.25938e-6	0	1.38673e-5	7.16698e-5	0	0	0	0	0	0	0	0	0	0	1.52e-5	3.17659e-6	0	0	0	0	0	0	0	0	0	0	0	1.5121e-5	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|unclassified	0.00113232	0.00209685	0.00131655	7.18798e-4	8.49671e-4	7.96905e-4	0.00113769	4.18611e-4	7.31983e-4	9.63466e-4	0.00117408	8.49322e-4	0.0011886	4.77109e-4	6.40625e-4	8.39352e-4	0.00118889	7.19241e-4	0.00137118	0.00137268	0.00125256	0.00154832	0.00103699	0.00117074	4.4891e-4	7.75193e-4	9.98263e-4	0.00145358	7.55894e-4	0.00149144	4.02148e-4	0.00114098	7.09198e-4	0.00229442	0.00137423	2.16693e-4	0.00155304	0.0014696	0.00131308	7.37251e-4	4.02137e-4	7.84644e-4	0.0013417	0.00155793	0.00161256	0.00110917	0.00106555	0.00140153	8.31742e-4	0.00134339	0.00106239	0.00131394	0.0011037	0.00149991	0.00122311	0.00161931	0.00116811	0.00126595	0.00155301	0.00171969
