clade_name	clade_taxid	YK62	YK61	YK60	YK59	YK58	YK57	YK56	YK55	YK54	YK53	YK52	YK51	YK50	YK49	YK48	YK47	YK46	YK45	YK44	YK43	YK42	YK41	YK40	YK39	YK38	YK37	YK36	YK35	YK34	YK33	YK32	SH9	SH8	SH7	SH6	SH5	SH4	SH3	SH31	SH30	SH2	SH29	SH28	SH27	SH26	SH25	SH24	SH23	SH22	SH21	SH20	SH1	SH19	SH18	SH17	SH16	SH15	SH14	SH13	SH12	SH11	SH10
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0	101477.0	174706.0	85187.0	191053.0	249577.0	57885.0	146452.0	84457.0	200676.0	29975.0	20330.0	78563.0	447774.0	52312.0	514128.0	152170.0	720939.0	633556.0	52973.0	11819.0	12091.0	4266.0	34435.0	5982.0	4121.0	98044.0	18267.0	6775.0	6747.0	91316.0	158563.0	17570.0	48672.0	3793.0	8013.0	9329.0	24510.0	194062.0	214733.0	4613.0	330648.0	69095.0	522295.0	96028.0	35663.0	341483.0	116478.0	69347.0	409933.0	302080.0	625.0	173732.0	169489.0	132331.0	231252.0	0	173022.0	132474.0	74032.0	197979.0	32727.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0	101477.0	174706.0	85187.0	191053.0	249577.0	57885.0	146452.0	84457.0	200676.0	29975.0	20330.0	78563.0	447774.0	52312.0	514128.0	152170.0	720939.0	633556.0	52973.0	11819.0	12091.0	4266.0	34435.0	5982.0	4121.0	98044.0	18267.0	6775.0	6747.0	91316.0	158563.0	17570.0	48672.0	3793.0	8013.0	9329.0	24510.0	194062.0	214733.0	4613.0	330648.0	69095.0	522295.0	96028.0	35663.0	341483.0	116478.0	69347.0	409933.0	302080.0	625.0	173732.0	169489.0	132331.0	231252.0	0	173022.0	132474.0	74032.0	197979.0	32727.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27176	2157|28890|183925|2158|2159|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8321.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4301.0	0	0	489.0	570.0	0	0	614.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27176|s__GGB27176_SGB39395	2157|28890|183925|2158|2159||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8321.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4301.0	0	0	489.0	570.0	0	0	614.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27176|s__GGB27176_SGB39395|t__SGB39395	2157|28890|183925|2158|2159|||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8321.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4301.0	0	0	489.0	570.0	0	0	614.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27179	2157|28890|183925|2158|2159|	0	3854.0	0	0	7860.0	20382.0	178.0	0	534.0	0	116.0	93.0	0	13664.0	0	7628.0	0	2235.0	7607.0	0	0	0	0	46.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4287.0	0	0	0	5001.0	38208.0	0	0	12313.0	8927.0	0	13690.0	4559.0	0	8502.0	687.0	0	0	0	780.0	4972.0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27179|s__GGB27179_SGB39398	2157|28890|183925|2158|2159||	0	3854.0	0	0	7860.0	20382.0	178.0	0	534.0	0	116.0	93.0	0	13664.0	0	7628.0	0	2235.0	7607.0	0	0	0	0	46.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4287.0	0	0	0	5001.0	38208.0	0	0	12313.0	8927.0	0	13690.0	4559.0	0	8502.0	687.0	0	0	0	780.0	4972.0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27179|s__GGB27179_SGB39398|t__SGB39398	2157|28890|183925|2158|2159|||	0	3854.0	0	0	7860.0	20382.0	178.0	0	534.0	0	116.0	93.0	0	13664.0	0	7628.0	0	2235.0	7607.0	0	0	0	0	46.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4287.0	0	0	0	5001.0	38208.0	0	0	12313.0	8927.0	0	13690.0	4559.0	0	8502.0	687.0	0	0	0	780.0	4972.0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27181	2157|28890|183925|2158|2159|	0	0	0	0	24260.0	33386.0	2119.0	0	127.0	0	0	0	1609.0	5118.0	257.0	3986.0	255.0	10803.0	1933.0	1385.0	0	1586.0	0	1018.0	0	0	0	0	0	0	0	3784.0	0	0	0	0	0	0	0	21622.0	0	9892.0	14179.0	13947.0	0	0	0	0	0	13923.0	10828.0	0	0	0	0	0	0	19840.0	2456.0	2012.0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27181|s__GGB27181_SGB39400	2157|28890|183925|2158|2159||	0	0	0	0	24260.0	33386.0	2119.0	0	127.0	0	0	0	1609.0	5118.0	257.0	3986.0	255.0	10803.0	1933.0	1385.0	0	1586.0	0	1018.0	0	0	0	0	0	0	0	3784.0	0	0	0	0	0	0	0	21622.0	0	9892.0	14179.0	13947.0	0	0	0	0	0	13923.0	10828.0	0	0	0	0	0	0	19840.0	2456.0	2012.0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27181|s__GGB27181_SGB39400|t__SGB39400	2157|28890|183925|2158|2159|||	0	0	0	0	24260.0	33386.0	2119.0	0	127.0	0	0	0	1609.0	5118.0	257.0	3986.0	255.0	10803.0	1933.0	1385.0	0	1586.0	0	1018.0	0	0	0	0	0	0	0	3784.0	0	0	0	0	0	0	0	21622.0	0	9892.0	14179.0	13947.0	0	0	0	0	0	13923.0	10828.0	0	0	0	0	0	0	19840.0	2456.0	2012.0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27182	2157|28890|183925|2158|2159|	0	5769.0	1173.0	1012.0	5022.0	35745.0	2920.0	1802.0	10630.0	2484.0	0	1991.0	11264.0	16471.0	0	25055.0	8140.0	7223.0	115800.0	24525.0	6449.0	2867.0	3037.0	4239.0	5982.0	4121.0	56176.0	6954.0	4105.0	3102.0	5683.0	89433.0	4981.0	1930.0	19.0	1566.0	1131.0	1398.0	367.0	19577.0	4613.0	37042.0	1502.0	2931.0	9782.0	19.0	780.0	0	17791.0	10528.0	31387.0	625.0	12776.0	13115.0	2348.0	2619.0	0	26756.0	15000.0	15068.0	30565.0	21073.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27182|s__GGB27182_SGB39401	2157|28890|183925|2158|2159||	0	5769.0	1173.0	1012.0	5022.0	35745.0	2920.0	1802.0	10630.0	2484.0	0	1991.0	11264.0	16471.0	0	25055.0	8140.0	7223.0	115800.0	24525.0	6449.0	2867.0	3037.0	4239.0	5982.0	4121.0	56176.0	6954.0	4105.0	3102.0	5683.0	89433.0	4981.0	1930.0	19.0	1566.0	1131.0	1398.0	367.0	19577.0	4613.0	37042.0	1502.0	2931.0	9782.0	19.0	780.0	0	17791.0	10528.0	31387.0	625.0	12776.0	13115.0	2348.0	2619.0	0	26756.0	15000.0	15068.0	30565.0	21073.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27182|s__GGB27182_SGB39401|t__SGB39401	2157|28890|183925|2158|2159|||	0	5769.0	1173.0	1012.0	5022.0	35745.0	2920.0	1802.0	10630.0	2484.0	0	1991.0	11264.0	16471.0	0	25055.0	8140.0	7223.0	115800.0	24525.0	6449.0	2867.0	3037.0	4239.0	5982.0	4121.0	56176.0	6954.0	4105.0	3102.0	5683.0	89433.0	4981.0	1930.0	19.0	1566.0	1131.0	1398.0	367.0	19577.0	4613.0	37042.0	1502.0	2931.0	9782.0	19.0	780.0	0	17791.0	10528.0	31387.0	625.0	12776.0	13115.0	2348.0	2619.0	0	26756.0	15000.0	15068.0	30565.0	21073.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27184	2157|28890|183925|2158|2159|	0	31223.0	0	53607.0	7094.0	10404.0	19690.0	76553.0	31014.0	11032.0	20687.0	0	23556.0	44319.0	32217.0	11721.0	9369.0	60525.0	164721.0	0	0	0	0	12656.0	0	0	2225.0	1447.0	1818.0	782.0	48748.0	0	0	0	0	0	5721.0	0	36257.0	1879.0	0	67227.0	17664.0	99378.0	27062.0	5473.0	54732.0	23110.0	6588.0	74011.0	1971.0	0	38536.0	12684.0	912.0	5628.0	0	31792.0	29042.0	28748.0	3033.0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27184|s__GGB27184_SGB39403	2157|28890|183925|2158|2159||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2225.0	0	0	782.0	97.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27184|s__GGB27184_SGB39403|t__SGB39403	2157|28890|183925|2158|2159|||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2225.0	0	0	782.0	97.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27184|s__GGB27184_SGB39404	2157|28890|183925|2158|2159||	0	31223.0	0	53607.0	7094.0	10404.0	19690.0	76553.0	31014.0	11032.0	20687.0	0	23556.0	44319.0	32217.0	11721.0	9369.0	60525.0	164721.0	0	0	0	0	12656.0	0	0	0	1447.0	1818.0	0	48651.0	0	0	0	0	0	5721.0	0	36257.0	1879.0	0	67227.0	17664.0	99378.0	27062.0	5473.0	54732.0	23110.0	6588.0	74011.0	1971.0	0	38536.0	12684.0	912.0	5558.0	0	31792.0	29042.0	28748.0	3033.0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27184|s__GGB27184_SGB39404|t__SGB39404	2157|28890|183925|2158|2159|||	0	31223.0	0	53607.0	7094.0	10404.0	19690.0	76553.0	31014.0	11032.0	20687.0	0	23556.0	44319.0	32217.0	11721.0	9369.0	60525.0	164721.0	0	0	0	0	12656.0	0	0	0	1447.0	1818.0	0	48651.0	0	0	0	0	0	5721.0	0	36257.0	1879.0	0	67227.0	17664.0	99378.0	27062.0	5473.0	54732.0	23110.0	6588.0	74011.0	1971.0	0	38536.0	12684.0	912.0	5558.0	0	31792.0	29042.0	28748.0	3033.0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27185	2157|28890|183925|2158|2159|	0	0	0	0	1173.0	31980.0	0	7726.0	876.0	0	0	0	0	10790.0	0	0	3664.0	0	21924.0	0	1725.0	0	0	0	0	0	3711.0	0	0	0	0	0	298.0	0	0	0	0	0	15837.0	5283.0	0	11027.0	0	12666.0	0	0	11461.0	321.0	0	22869.0	0	0	14795.0	738.0	0	13735.0	0	0	0	14370.0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27185|s__GGB27185_SGB39405	2157|28890|183925|2158|2159||	0	0	0	0	1173.0	31980.0	0	7726.0	876.0	0	0	0	0	8982.0	0	0	0	0	15792.0	0	1725.0	0	0	0	0	0	3711.0	0	0	0	0	0	0	0	0	0	0	0	15837.0	5283.0	0	11027.0	0	12666.0	0	0	11058.0	0	0	19523.0	0	0	14795.0	738.0	0	13735.0	0	0	0	14370.0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27185|s__GGB27185_SGB39405|t__SGB39405	2157|28890|183925|2158|2159|||	0	0	0	0	1173.0	31980.0	0	7726.0	876.0	0	0	0	0	8982.0	0	0	0	0	15792.0	0	1725.0	0	0	0	0	0	3711.0	0	0	0	0	0	0	0	0	0	0	0	15837.0	5283.0	0	11027.0	0	12666.0	0	0	11058.0	0	0	19523.0	0	0	14795.0	738.0	0	13735.0	0	0	0	14370.0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27185|s__GGB27185_SGB39406	2157|28890|183925|2158|2159||	0	0	0	0	0	0	0	0	0	0	0	0	0	1808.0	0	0	3664.0	0	6132.0	0	0	0	0	0	0	0	0	0	0	0	0	0	298.0	0	0	0	0	0	0	0	0	0	0	0	0	0	403.0	321.0	0	3346.0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27185|s__GGB27185_SGB39406|t__SGB39406	2157|28890|183925|2158|2159|||	0	0	0	0	0	0	0	0	0	0	0	0	0	1808.0	0	0	3664.0	0	6132.0	0	0	0	0	0	0	0	0	0	0	0	0	0	298.0	0	0	0	0	0	0	0	0	0	0	0	0	0	403.0	321.0	0	3346.0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27187	2157|28890|183925|2158|2159|	0	44068.0	169010.0	1016.0	120900.0	16428.0	17502.0	16724.0	31918.0	146786.0	0	6948.0	27114.0	219755.0	6527.0	421899.0	48025.0	567509.0	202289.0	6202.0	0	0	0	5356.0	0	0	12425.0	0	0	0	1524.0	56581.0	0	0	430.0	1347.0	0	0	83932.0	85991.0	0	40175.0	7447.0	323119.0	5516.0	11673.0	201738.0	45176.0	9142.0	162261.0	192858.0	0	63604.0	124036.0	126355.0	33384.0	0	11000.0	75790.0	5046.0	164381.0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27187|s__GGB27187_SGB39409	2157|28890|183925|2158|2159||	0	44068.0	8335.0	1016.0	120900.0	14805.0	17502.0	16724.0	31918.0	146786.0	0	6513.0	27114.0	219755.0	6527.0	421899.0	48025.0	567509.0	202289.0	6202.0	0	0	0	5356.0	0	0	4683.0	0	0	0	1524.0	56581.0	0	0	430.0	1347.0	0	0	81805.0	77865.0	0	40175.0	7447.0	323119.0	5516.0	5146.0	139786.0	45176.0	9142.0	162261.0	192858.0	0	58359.0	124036.0	125082.0	12234.0	0	11000.0	75790.0	5046.0	5444.0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27187|s__GGB27187_SGB39409|t__SGB39409	2157|28890|183925|2158|2159|||	0	44068.0	8335.0	1016.0	120900.0	14805.0	17502.0	16724.0	31918.0	146786.0	0	6513.0	27114.0	219755.0	6527.0	421899.0	48025.0	567509.0	202289.0	6202.0	0	0	0	5356.0	0	0	4683.0	0	0	0	1524.0	56581.0	0	0	430.0	1347.0	0	0	81805.0	77865.0	0	40175.0	7447.0	323119.0	5516.0	5146.0	139786.0	45176.0	9142.0	162261.0	192858.0	0	58359.0	124036.0	125082.0	12234.0	0	11000.0	75790.0	5046.0	5444.0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27187|s__GGB27187_SGB39410	2157|28890|183925|2158|2159||	0	0	160675.0	0	0	1623.0	0	0	0	0	0	435.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7742.0	0	0	0	0	0	0	0	0	0	0	0	2127.0	8126.0	0	0	0	0	0	6527.0	61952.0	0	0	0	0	0	5245.0	0	1273.0	21150.0	0	0	0	0	158937.0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27187|s__GGB27187_SGB39410|t__SGB39410	2157|28890|183925|2158|2159|||	0	0	160675.0	0	0	1623.0	0	0	0	0	0	435.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7742.0	0	0	0	0	0	0	0	0	0	0	0	2127.0	8126.0	0	0	0	0	0	6527.0	61952.0	0	0	0	0	0	5245.0	0	1273.0	21150.0	0	0	0	0	158937.0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27189	2157|28890|183925|2158|2159|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14996.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6110.0	33556.0	445.0	0	0	35461.0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27189|s__GGB27189_SGB39412	2157|28890|183925|2158|2159||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14996.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6110.0	33556.0	445.0	0	0	35461.0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27189|s__GGB27189_SGB39412|t__SGB39412	2157|28890|183925|2158|2159|||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14996.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6110.0	33556.0	445.0	0	0	35461.0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB31158	2157|28890|183925|2158|2159|	0	0	0	0	0	0	0	3166.0	0	0	0	0	0	0	1722.0	0	0	178.0	0	0	0	0	0	0	0	0	0	0	0	0	2865.0	0	0	0	0	0	0	0	0	0	0	0	0	1993.0	2470.0	0	0	0	0	0	13034.0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB31158|s__GGB31158_SGB44446	2157|28890|183925|2158|2159||	0	0	0	0	0	0	0	3166.0	0	0	0	0	0	0	1722.0	0	0	178.0	0	0	0	0	0	0	0	0	0	0	0	0	2865.0	0	0	0	0	0	0	0	0	0	0	0	0	1993.0	2470.0	0	0	0	0	0	13034.0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB31158|s__GGB31158_SGB44446|t__SGB44446	2157|28890|183925|2158|2159|||	0	0	0	0	0	0	0	3166.0	0	0	0	0	0	0	1722.0	0	0	178.0	0	0	0	0	0	0	0	0	0	0	0	0	2865.0	0	0	0	0	0	0	0	0	0	0	0	0	1993.0	2470.0	0	0	0	0	0	13034.0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	0	16563.0	4523.0	29552.0	23929.0	94275.0	15476.0	40415.0	9358.0	40374.0	9172.0	11298.0	15020.0	132525.0	11589.0	38488.0	82717.0	70384.0	110440.0	20100.0	1661.0	6097.0	1229.0	11120.0	0	0	8511.0	9123.0	0	1316.0	27098.0	4257.0	12291.0	46742.0	3344.0	4700.0	2249.0	22866.0	50011.0	76047.0	0	156833.0	22813.0	20487.0	17642.0	17233.0	54425.0	38760.0	0	111166.0	46017.0	0	35519.0	18229.0	1843.0	175039.0	0	74203.0	5214.0	7681.0	0	11654.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_millerae	2157|28890|183925|2158|2159|2172|230361	0	14957.0	3439.0	29552.0	10532.0	87045.0	10815.0	35967.0	2942.0	38673.0	9172.0	11298.0	0	120089.0	11468.0	38488.0	67076.0	65132.0	34994.0	20100.0	960.0	4448.0	1229.0	7889.0	0	0	8511.0	7418.0	0	1316.0	23673.0	4257.0	41.0	46646.0	1861.0	4700.0	1908.0	22806.0	35339.0	69567.0	0	140147.0	21633.0	12404.0	17267.0	17233.0	40780.0	38760.0	0	95364.0	26524.0	0	35519.0	11440.0	0	163798.0	0	74203.0	2799.0	5752.0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_millerae|t__SGB44417	2157|28890|183925|2158|2159|2172|230361|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.0	0	0	0	0	0	0	7418.0	0	0	6781.0	0	0	0	0	4700.0	1908.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
