Bacteria	SH1	SH2	SH3	SH4	SH5	SH6	SH7	SH8	SH9	SH10	SH11	SH12	SH13	SH14	SH15	SH16	SH17	SH18	SH19	SH20	SH21	SH22	SH23	SH24	SH25	SH26	SH27	SH28	SH29	SH30	YK31	YK32	YK33	YK34	YK35	YK36	YK37	YK38	YK39	YK40	YK41	YK42	YK43	YK44	YK45	YK46	YK47	YK48	YK49	YK50	YK51	YK52	YK53	YK54	YK55	YK56	YK57	YK58	YK59	YK60
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter_sp_08Y14	0	2849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Tessaracoccus|s__Tessaracoccus_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB8539|o__OFGB8539|f__FGB8539|g__GGB25880|s__GGB25880_SGB37870	0	0	0	0	0	0	0	0	0	814	0	0	1478	0	0	0	0	835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__GGB25436|s__GGB25436_SGB37390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__GGB25441|s__GGB25441_SGB37396	0	0	0	0	0	0	0	0	5180	0	0	3075	1704	16471	0	0	0	0	451	0	991	0	46	0	2524	1114	1381	1084	985	0	0	0	0	0	0	0	0	0	0	0	0	10275	4840	8635	214	780	0	3338	0	0	0	0	0	91	0	0	639	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__GGB30019|s__GGB30019_SGB42919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	135	0	0	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	782	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__GGB30023|s__GGB30023_SGB42923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0	0	0	0	263	8271	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__GGB9369|s__GGB9369_SGB14350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_SGB14390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_umbonata	0	0	0	0	0	0	0	0	1788	0	0	0	0	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8236	0	0	0	0	0	0	0	0	0	0	0	0	124659	0	0	0	1164	0	442	0	0	0	0	0	0	0	0	0	1163	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB30069|s__GGB30069_SGB42979	0	0	0	0	0	0	0	0	48	0	0	173	0	365	0	0	0	75	0	74	143	252	1577	0	295	977	0	864	5515	283	0	0	0	0	165	0	0	0	0	0	0	0	4859	8101	0	3988	0	1182	0	0	0	0	0	0	0	214	524	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroidaceae_unclassified|s__Bacteroidaceae_bacterium	0	283065	19929	1472	3788	19788	0	0	0	0	312670	0	0	0	8052	900	2492	0	0	0	0	0	4008	39735	0	3027	140	0	123	2758	0	44301	76811	18501	26759	0	0	121960	759	0	2956	0	3644	0	26506	15289	2123	11596	0	8967	17575	0	0	72828	43594	58977	44419	4240	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	919	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3134	0	0	0	233	0	0	0	2110	0	0	0	0	0	0	0	0	0	0	0	496	0	0	0	620	0	0	0	234	0	0	0	24189	0	0	0	0	2574	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	0	0	0	0	0	0	0	0	11144	0	0	0	0	25917	0	0	0	0	0	178460	0	0	82982	0	0	0	41390	37104	0	1002	0	0	0	0	0	0	0	0	0	0	0	138431	0	0	0	0	0	0	2613	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Bacteroidales_unclassified|s__Bacteroidales_bacterium	19481	0	1638	0	256	3442	267	785	0	0	0	0	0	0	20600	584	0	0	9074	0	13310	1513	159686	1622	15804	31942	231651	45077	49847	0	1393	21379	1541	790	5730	184	0	0	506	808	8587	60194	5409	0	1902	537	943	133	35132	0	17137	0	0	4024	178	0	66321	13472	0	460
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB1538|s__GGB1538_SGB2121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	504	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB1547|s__GGB1547_SGB2131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34433	0	0	20058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5737	0	0	0	0	0	0	0	0	3284	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB1582|s__GGB1582_SGB2173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB24122|s__GGB24122_SGB35925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5829	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB24123|s__GGB24123_SGB35926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3687	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB27646|s__GGB27646_SGB39990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Phocaeicola|s__Phocaeicola_vulgatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1720	7270	0	0	787	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	611	1250	6246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	6484	0	0	0	0	0	0	2220	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Paludibacteraceae|g__Paludibacteraceae_unclassified|s__Paludibacteraceae_bacterium	1288	71989	42003	0	57276	3952	118317	196	0	21429	3038	0	55915	3067	467	56379	10714	0	6234	0	22796	5724	1563	146550	0	0	0	0	81057	35416	0	0	917	6740	2074	0	0	22582	661259	0	19141	0	516035	14507	87354	0	10231	0	13567	375322	7940	0	0	0	7380	0	241324	22929	27414	62977
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Sanguibacteroides|s__Sanguibacteroides_justesenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB23969|s__GGB23969_SGB35719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5063	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB23970|s__GGB23970_SGB35720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6737	0	0	0	0	0	6296	3118	0	4477	0	4292	0	0	8083	12750	0	0	0	0	0	0	0	1012	0	0	0	0	7186	0	1151	0	0	0	0	0	3870	0	0	0	1954	0	1865	0	0	382
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB23972|s__GGB23972_SGB35722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8065	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB23975|s__GGB23975_SGB35727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11174	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB23980|s__GGB23980_SGB35734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB23983|s__GGB23983_SGB40694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB23984|s__GGB23984_SGB35739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4097	0	0	0	0	0	0	0	35457	0	0	0	0	0	0	0	464408	0	0	0	0	1893	15882	0	0	0	0	0	0	0	0	0	13955	733106	0	0	34508	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB23985|s__GGB23985_SGB35741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB23998|s__GGB23998_SGB35758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15433	0	6205	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB23998|s__GGB23998_SGB35759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB23998|s__GGB23998_SGB40715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1106	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB28155|s__GGB28155_SGB40650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9157	0	0	0	0	12943	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB28176|s__GGB28176_SGB40678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	828	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB28177|s__GGB28177_SGB40680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellaceae_unclassified|s__Prevotellaceae_bacterium_HUN156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	858	0	0	0	0	0	0	108160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1437	0	0	0	0	23057	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_ruminicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244739	0	0	0	0	0	833	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_BP1_145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5157	0	1702	0	0	4653	522	0	2777	8182	25569	5989	0	0	5327	0	0	0	0	0	0	0	172724	0	0	0	0	199896	0	0	2301	0	0	11924	0	167559	3452	27489	15103	278988	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Rikenellaceae_unclassified|s__Rikenellaceae_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB12404|o__OFGB12404|f__FGB12404|g__GGB35308|s__GGB35308_SGB77879	437	0	140	0	940	1071	0	0	0	814	0	0	766	96	8146	196	155	0	0	957	0	78	68	920	0	97	138	0	0	9	0	288	365	807	505	0	0	709	176	0	0	0	325	307	483	701	223	452	0	304	146	58565	466	39	320	547	546	165	38	321
k__Bacteria|p__Bacteroidetes|c__CFGB24075|o__OFGB24075|f__FGB24075|g__GGB47679|s__GGB47679_SGB65647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB37281|o__OFGB37281|f__FGB37281|g__GGB56310|s__GGB56310_SGB77713	3111	15739	5297	0	420	0	0	0	0	7074	6588	9409	25050	142	5659	0	0	10272	0	0	0	0	0	0	0	0	0	2078	0	19276	0	0	0	6333	2488	0	107	1767	0	0	0	0	0	0	2463	0	0	1215	0	0	913	0	0	0	185	0	2067	567	0	1823
k__Bacteria|p__Bacteroidetes|c__CFGB38298|o__OFGB38298|f__FGB38298|g__GGB56465|s__GGB56465_SGB77878	9907	0	6306	0	0	8893	64	214	214	8103	0	0	136	0	0	27085	0	0	13460	0	0	24612	33004	20197	0	0	4059	0	3112	26866	171	0	12557	6837	9501	0	80	98951	3006	0	1107	0	58502	4546	20117	0	102480	59586	605	17973	76222	26690	3316	0	115603	0	18867	0	15536	7443
k__Bacteria|p__Bacteroidetes|c__CFGB47741|o__OFGB47741|f__FGB47741|g__GGB56396|s__GGB56396_SGB77807	734	1742	93022	0	0	169	38	0	0	224	0	0	0	0	0	0	5298	0	0	0	0	0	0	575	0	0	0	0	0	0	0	0	0	3887	18838	0	305	10835	0	0	2181	0	0	0	457	371	0	0	0	19112	0	3270	630	7539	2185	0	0	0	92726	0
k__Bacteria|p__Bacteroidetes|c__CFGB7499|o__OFGB7499|f__FGB7499|g__GGB23871|s__GGB23871_SGB35606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10384	0	0	0	0	0	0	0	0	4068	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7499|o__OFGB7499|f__FGB7499|g__GGB23874|s__GGB23874_SGB35609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14099	0	0	0	1224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33719	0	5537	0	0	0	0	0	0	0	0	0	0	0	6069	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7499|o__OFGB7499|f__FGB7499|g__GGB23881|s__GGB23881_SGB35616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180885	0	0	0	26820	0	0	0	28548	0	0	0	0	0	0	0	0	0	0	33757	0	0	0	0	0	6965	0	0	19981	0	0	0	94011	0	0	1733	63710	0	194076	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7499|o__OFGB7499|f__FGB7499|g__GGB23885|s__GGB23885_SGB35621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1811	0	0	0	0	0	6806	0	0	0	0	0	0	0	0	0	0	4158	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7499|o__OFGB7499|f__FGB7499|g__GGB23888|s__GGB23888_SGB35624	0	0	0	0	0	0	0	0	0	0	0	0	0	1162546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB7503|o__OFGB7503|f__FGB7503|g__GGB23900|s__GGB23900_SGB35640	9683	0	0	0	0	0	0	705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53476	0	0	0	0	0	0	0	0	0	0
