# Pathway	# Pathway	SH1	SH2	SH3	SH4	SH5	SH6	SH7	SH8	SH9	SH10	SH11	SH12	SH13	SH14	SH15	SH16	SH17	SH18	SH19	SH20	SH21	SH22	SH23	SH24	SH25	SH26	SH27	SH28	SH29	SH30	YK31	YK32	YK33	YK34	YK35	YK36	YK37	YK38	YK39	YK40	YK41	YK42	YK43	YK44	YK45	YK46	YK47	YK48	YK49	YK50	YK51	YK52	YK53	YK54	YK55	YK56	YK57	YK58	YK59	YK60
AEROBACTINSYN-PWY: aerobactin biosynthesis	AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	0	0	0	0	0	0	8.2731E-06	0	0	0	0	0	0	0	0.000038217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.13081E-05	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Escherichia.s__Escherichia_coli	AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.52772E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.74841E-05	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0.000643784	0.000470728	0.000563729	0.000360281	0.000625114	0.000423602	0.000535747	0.00021972	0.000264638	0.000134518	0.000229901	0.000307102	0.00016544	0.000155172	0.000414414	0.000373071	0.000532631	0.000408912	0.000509126	0.000543985	0.000356719	0.000229328	0.000357557	0.000465221	0.000326479	0.00024755	0.000234661	0.000343298	0.000441408	0.000272703	0.000119415	0.000587312	0.000321668	0.000419967	0.000289392	0.000213941	0.00049892	0.000493567	0.000514366	0.00013242	0.00028716	0.000192938	0.000102275	0.000370795	0.000496791	0.00034616	0.00064016	0.000272349	2.35871E-05	0.000481931	0.00037684	0.000454877	0.000355975	0.00012799	0.000317739	0.000288752	0	0.000181311	0.000368174	0.000273206
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast|unclassified	ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast|unclassified	0.000549059	0.000470728	0.000497319	0.000360281	0.000502932	0.000305777	0.000533226	0.00021972	0.000181783	0.000118164	0.000208264	0.000284511	0.000105202	0.000128757	0.000141213	0.000270902	0.000466327	0.000145518	0.00011389	0.000183425	0.000273379	0.000153105	0.000183106	0.000358191	0.000228911	0.000174236	0.000229349	8.48129E-05	0.00014781	0.000110283	0.000119415	0.000474101	0.00029874	0.000418603	0.000236101	0.000181351	0.000473378	0.000456955	0.00050354	0.00013242	0.000254966	8.74329E-05	0.000101897	0.000153481	0.000474646	8.06403E-05	0.000372401	9.27642E-05	2.28706E-05	0.000409897	0.000155586	0.000202048	0.00027604	0.00012799	0.000282333	0.000155303	0	0.000176203	0.000355175	0.000273206
ANAEROFRUCAT-PWY: homolactic fermentation	ANAEROFRUCAT-PWY: homolactic fermentation	0.00476831	0.00354981	0.00556883	0.00462091	0.00478397	0.00570986	0.00288511	0.00536089	0.00374426	0.00466072	0.00331324	0.00504085	0.00543866	0.00525012	0.00460556	0.00385611	0.00491633	0.00424352	0.00484505	0.00440101	0.00442372	0.00426997	0.00491347	0.00376363	0.00460447	0.00459336	0.00290244	0.00433925	0.00455375	0.00406795	0.00739547	0.00454739	0.00606164	0.00391074	0.00462249	0.0074914	0.00471672	0.00387738	0.0028379	0.00476049	0.00682234	0.0036947	0.0052977	0.0049983	0.00363108	0.00517184	0.00375051	0.0045712	0.00438691	0.00430712	0.00344823	0.00464078	0.00392944	0.00292279	0.00380726	0.00430949	0.0041149	0.00465167	0.00459676	0.00407694
ANAEROFRUCAT-PWY: homolactic fermentation|g__Escherichia.s__Escherichia_coli	ANAEROFRUCAT-PWY: homolactic fermentation|g__Escherichia.s__Escherichia_coli	0.000125996	0	0	0	0.0014267	0.00016044	0	0	0	0.000983671	0	0.000215698	0	4.36524E-05	0.00113769	0.000339946	0.000244299	0.00123621	0.000692719	0.000783698	0.0004486	0.000112135	0.000254318	0.000529718	0	0.000142526	0	0.000219753	0.0010701	0.00012754	0	0	0	0	0.00038324	0	0	5.38257E-05	0	0	0	0	0	0	0	0.000357923	0.00082665	0.000122518	0	0.000254404	0.000233404	0.000557182	0.000464738	0	9.13241E-05	9.39127E-05	0	0	0.000208676	0
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	0.00313005	0.00297178	0.00284335	0.00204666	0.00169767	0.00179711	0.00212388	0.00204828	0.00251981	0.00209699	0.00321096	0.00272631	0.00288305	0.00212962	0.00161543	0.00300454	0.00369744	0.00161265	0.00271506	0.00242302	0.00318124	0.00338601	0.0039406	0.00238727	0.00276535	0.00381371	0.00248812	0.00349655	0.00254752	0.00342354	0.00305226	0.00190734	0.00165615	0.00383525	0.00353995	0.00201055	0.0028726	0.00372027	0.002795	0.00217556	0.00177645	0.00105172	0.00403029	0.00479231	0.00315421	0.00406552	0.00216858	0.00383092	0.00408352	0.00363314	0.00264331	0.0029227	0.00237842	0.00252501	0.00335348	0.0034397	0.00387017	0.00235372	0.00412361	0.00389296
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.00974327	0.0101586	0.0092474	0.0103995	0.00742767	0.00934851	0.00870327	0.0100398	0.00852141	0.00739731	0.00936172	0.00889177	0.0112203	0.00919619	0.00738046	0.00841355	0.00843437	0.00772237	0.00828368	0.00747736	0.00850074	0.00797365	0.00867376	0.00738538	0.00830088	0.00797224	0.00660017	0.00762154	0.00893184	0.00962831	0.0102979	0.0103961	0.0100347	0.00858227	0.00889456	0.0124642	0.0109572	0.00789574	0.0103639	0.00970043	0.012181	0.0104468	0.00853471	0.00817267	0.0068949	0.00871663	0.00854792	0.00915152	0.00803877	0.00782499	0.00887002	0.00775216	0.00896518	0.00916974	0.00863779	0.00930407	0.00917478	0.00929648	0.00793212	0.00879693
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Clostridium.s__Clostridium_butyricum	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Clostridium.s__Clostridium_butyricum	7.20974E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Clostridium.s__Clostridium_perfringens	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000233474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Desulfovibrio.s__Desulfovibrio_piger	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Desulfovibrio.s__Desulfovibrio_piger	4.29653E-05	0	0	0	0	2.28197E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Escherichia.s__Escherichia_coli	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Escherichia.s__Escherichia_coli	0.000239389	9.59617E-05	0	0	0.00195129	0.000260963	0	0	0	0.00144695	3.49158E-05	0.000293054	0	7.16323E-05	0.00144047	0.000454831	0.000339094	0.00164258	0.000977271	0.00108309	0.000736915	0.000149183	0.000306296	0.00074268	0	0.000199326	0	0.000300784	0.00153105	0.000262432	0	5.33353E-05	0	0	0.000684463	0	0	8.42412E-05	0	0	0	0	0	0	0	0.000443854	0.00120254	0.000186171	0	0.000350888	0.000304147	0.000902955	0.00081813	0	0.000156652	0.000238029	0	0	0.000233288	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Prevotella.s__Prevotella_ruminicola	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Prevotella.s__Prevotella_ruminicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000207974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_gallolyticus	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_gallolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	3.67954E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Turicibacter.s__Turicibacter_sanguinis	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Turicibacter.s__Turicibacter_sanguinis	0.000191907	0	0.000492391	0.000673412	6.93164E-05	0.000521769	0.000194419	0.000558874	0.000419885	0.000118667	0.000205871	0.000329994	0.000118069	0.000373016	0.000034552	0.000084972	4.79028E-05	0	0	0	0	0	4.15248E-05	0	0.00023426	8.22717E-05	0	4.58404E-05	0.00002022	0	0.000625367	0.000387233	0.000586066	0.000149973	4.12179E-05	0.000684175	0.000331048	0	0.000268121	0.000214587	0.000757537	0.000344691	0	0	0	3.70036E-05	0	0	0	5.13519E-05	0	0	0	0	0	0	0	0	6.11041E-05	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	0.00815229	0.00988325	0.0077014	0.00884659	0.0035336	0.0065079	0.00826149	0.00838582	0.00735159	0.00419711	0.00872568	0.00654495	0.00704678	0.00741034	0.0042217	0.00754101	0.00743281	0.003104	0.00569636	0.00508556	0.00685377	0.00754674	0.00709635	0.00609575	0.00595289	0.00676309	0.00649675	0.00691813	0.00538375	0.0088428	0.00615059	0.00894158	0.0082211	0.00819156	0.00729962	0.00701782	0.00870473	0.00743224	0.00983393	0.0082095	0.00649788	0.00897715	0.00657086	0.00805759	0.00685784	0.00718353	0.00580222	0.008376	0.00771154	0.00687906	0.00743701	0.00611269	0.00714038	0.0089948	0.00787748	0.00816857	0.00915423	0.00649777	0.00721263	0.00871959
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.0017022	0.00139881	0.00102927	0.00132753	0.00311862	0.00162527	0.000681647	0.00109322	0.000520494	0.00297979	0.000925618	0.00173804	0.000628709	0.000628135	0.00270027	0.00212419	0.0016055	0.00308979	0.00235413	0.00173488	0.00205337	0.00128032	0.00163977	0.00168211	0.000669294	0.000962597	0.000431067	0.00126575	0.00275341	0.0014866	0.000641122	0.0015024	0.00102516	0.00119952	0.00172567	0.000817343	0.00107633	0.00143733	0.00106789	0.00102922	0.000912989	0.000922681	0.000716777	0.00115125	0.00128536	0.00182906	0.0028015	0.0012127	0.000427415	0.00207733	0.00133502	0.00270217	0.00212096	0.00100525	0.00139766	0.00153105	0.000814755	0.000531911	0.00169884	0.000477165
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|g__Escherichia.s__Escherichia_coli	ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|g__Escherichia.s__Escherichia_coli	0.000184719	0	0	0	0.00158132	0.000216166	0	0	0	0.0010037	0	0.000164463	0	5.57104E-05	0.00105211	0.000334673	0.000256955	0.00130698	0.000694206	0.000676296	0.000441311	5.85584E-05	0.000248917	0.00062478	2.82266E-05	0.000127343	0	0.000272772	0.00117219	0.000147657	0	3.69422E-05	0	0	0.000371087	0	0	7.03673E-05	0	0	0	0	0	0	0	0.000364878	0.000898852	9.29612E-05	0	0.000307965	0.000248242	0.000735265	0.000462138	0	0.000122713	0.000134559	0	0	0.000132993	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified	ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified	0.000916429	0.000854439	0.000935699	0.00131537	0.000445723	0.000704151	0.000676472	0.00106748	0.000387887	0.000655847	0.000812261	0.00102372	0.000589313	0.000419324	0.000638107	0.00105037	0.000895017	0.000534697	0.000728053	0.000511971	0.000764506	0.000961622	0.000859691	0.000703312	0.000573276	0.000621666	0.000430971	0.000577943	0.000608034	0.000919789	0.000618244	0.00119324	0.000946734	0.00105335	0.000793215	0.000669791	0.000815808	0.000973126	0.00104481	0.000999136	0.00084882	0.000896559	0.000713909	0.000909649	0.000997587	0.000623846	0.00068382	0.000797832	0.000396679	0.00111223	0.000776478	0.000788589	0.000740745	0.00100194	0.000886753	0.00103295	0.000813435	0.000524814	0.00106789	0.000476087
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"	"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"	0.000129828	0	0	0	0.000490362	0.000162392	0	0	0	0.000524082	0	0	0	3.37283E-05	0.0004419	7.22184E-05	8.83867E-05	0.000671569	0.000251028	0.000190291	0.000249733	4.55315E-05	0.000128082	0.00023085	0	6.73112E-05	0	7.12524E-05	0.000537085	5.85513E-05	0	0	0	0	0.00020182	0	0	2.20441E-05	0	0	0	0	0	0	0	0.000219766	0.000245943	4.81402E-05	0	0.000076607	4.10926E-05	0.00023318	0.000230541	0	0.000022043	0.000052131	0	0	5.07882E-05	0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|g__Escherichia.s__Escherichia_coli"	"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|g__Escherichia.s__Escherichia_coli"	8.83049E-05	0	0	0	0.000305395	8.04891E-05	0	0	0	0.000452116	0	0	0	0	0.000346804	0	7.22482E-05	0.000545782	0.000182578	0.000174501	0.000207407	0	9.97766E-05	0.000211693	0	5.24367E-05	0	0	0.00047899	0	0	0	0	0	0.000173083	0	0	0	0	0	0	0	0	0	0	0.000133064	0.000233844	0	0	0	0	0.000146353	0.000185451	0	0	0	0	0	0	0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|unclassified"	"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|unclassified"	1.54718E-05	0	0	0	0.00011332	5.23798E-05	0	0	0	2.54574E-05	0	0	0	2.82567E-05	5.75637E-05	0.000052482	0	0	4.36638E-05	0	0	3.94673E-05	0	0	0	0	0	5.92145E-05	0	4.84278E-05	0	0	0	0	0	0	0	0.000020488	0	0	0	0	0	0	0	0.00006377	0	3.93386E-05	0	5.69095E-05	3.02483E-05	6.59542E-05	3.20585E-05	0	2.10463E-05	0.000042567	0	0	3.78312E-05	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.00114877	0.00210092	0.00133634	0.00072145	0.00180081	0.000807501	0.00114206	0.000420938	0.000733741	0.00184476	0.00117745	0.00106813	0.00123064	0.000479698	0.00156875	0.000844494	0.00119388	0.001808	0.00145243	0.00150109	0.00126797	0.00156188	0.00108081	0.0011915	0.000451501	0.000784849	0.00105794	0.00146603	0.00120342	0.00149715	0.000406836	0.00115032	0.000715111	0.00242273	0.00213361	0.000218473	0.00157955	0.00157835	0.00131352	0.000744761	0.000406683	0.000838936	0.00134784	0.00156121	0.00161507	0.00130925	0.00121636	0.00140828	0.000832197	0.00134841	0.00106473	0.00133843	0.00111431	0.00151248	0.00123957	0.00163018	0.00116811	0.00128288	0.00166037	0.00172474
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacillaceae_unclassified.s__Bacillaceae_bacterium_EAG3	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacillaceae_unclassified.s__Bacillaceae_bacterium_EAG3	0	0	0	0	0	0	0	0	0	2.50604E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.15827E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacillus.s__Bacillus_altitudinis	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacillus.s__Bacillus_altitudinis	0	0	0	0	0	0	0	0	0	0	0	5.92814E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacillus.s__Bacillus_pumilus	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacillus.s__Bacillus_pumilus	0	0	0	0	0	0	0	0	0	0	0	4.46577E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacillus.s__Bacillus_safensis	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacillus.s__Bacillus_safensis	0	0	0	0	0	0	0	0	0	0	0	9.4478E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_xylanisolvens	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72201E-05	0	0	2.66134E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.07495E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Escherichia.s__Escherichia_coli	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Escherichia.s__Escherichia_coli	0.000102895	0	0	0	0.00104406	8.67112E-05	0	0	0	0.000659725	0	0.000178359	0	4.74183E-05	0.000804056	0.000251116	0.000114561	0.000807759	0.000471673	0.000525931	0.000261002	0.000104127	0.000103303	0.000291553	1.51361E-05	0.00013556	0	0.000173334	0.000737705	3.31593E-05	0	0	0	0	0.000292165	0	0	0	0	0	0	0	0	0	0	0.000184835	0.000612662	2.52809E-05	0	0.000187118	0.000140128	0.000548972	0.000311386	0	0.000061707	0.000085601	0	0	8.95574E-05	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Lysinibacillus.s__Lysinibacillus_fusiformis	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Lysinibacillus.s__Lysinibacillus_fusiformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50865E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Lysinibacillus.s__Lysinibacillus_massiliensis	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Lysinibacillus.s__Lysinibacillus_massiliensis	0	0	0	0	0	0	0	0	0	2.33763E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Lysinibacillus.s__Lysinibacillus_varians	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Lysinibacillus.s__Lysinibacillus_varians	0	0	4.03985E-05	0	4.52827E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.11171E-05	0	1.54665E-05	0	0	0	0	0	0	0	0.000054407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
